Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Anthony Edwards,22,79,78,2770,12.8,27.8,0.461,3.4,9.5,0.357,9.4,18.3,0.515,7.5,9,0.836,0.9,6.7,7.7,7.2,1.8,0.7,4.3,2.5,36.6,,112,110
2,Rudy Gobert,31,76,76,2593,7.7,11.7,0.661,0,0.1,0,7.7,11.6,0.664,4.7,7.4,0.638,5.4,13.3,18.7,1.9,1,3.1,2.2,4.5,20.2,,131,104
3,Mike Conley,36,76,76,2193,6.6,14.5,0.457,4,9.1,0.442,2.6,5.4,0.481,2.3,2.5,0.911,0.8,4.1,4.9,10.1,2,0.4,2.3,2.9,19.6,,129,111
4,Jaden McDaniels,23,72,71,2105,7.2,14.7,0.489,2,6,0.337,5.2,8.8,0.592,1.3,1.9,0.722,1.3,3.9,5.3,2.4,1.5,1,2,5.1,17.8,,108,112
5,Karl-Anthony Towns,28,62,62,2026,11.7,23.2,0.504,3.3,8,0.416,8.4,15.2,0.55,6.2,7.1,0.873,2.3,10.3,12.6,4.6,1,1,4.3,5,32.9,,115,109
6,Naz Reid,24,81,14,1964,10.2,21.4,0.477,4.3,10.3,0.414,6,11.1,0.535,2.7,3.7,0.736,1.8,8.8,10.6,2.7,1.6,1.8,2.8,4.3,27.4,,111,107
7,Nickeil Alexander-Walker,25,82,20,1921,6.1,13.8,0.439,3.4,8.6,0.391,2.7,5.2,0.517,1.3,1.7,0.8,0.9,3.4,4.3,5.2,1.6,1.1,2,3.7,16.9,,115,111
8,Kyle Anderson,30,79,10,1782,5.5,12,0.46,0.3,1.3,0.229,5.2,10.7,0.488,2.7,3.8,0.708,1.7,5.9,7.6,9.2,2,1.3,2.5,3.6,14,,114,109
9,Jordan McLaughlin,27,56,0,626,5.5,11.4,0.483,3.3,7,0.472,2.2,4.4,0.5,1,1.4,0.722,1.4,4.3,5.7,8.7,2.8,0.6,1.5,2.4,15.4,,136,109
10,Shake Milton,27,38,0,491,6.4,16.1,0.4,1.4,5.3,0.264,5,10.8,0.467,3.6,4.4,0.818,0.7,4.4,5.1,5,1.6,0.5,2.8,4.4,17.9,,100,112
11,Troy Brown Jr.,24,37,3,410,6.3,14.2,0.441,3.7,10.1,0.369,2.5,4.1,0.618,2.3,2.7,0.864,1.7,7,8.7,4.2,1,0.2,2.2,3.1,18.6,,118,112
12,Monte Morris,28,27,0,408,6.1,14.5,0.417,3,7.1,0.424,3,7.4,0.41,1.5,2.1,0.706,0.6,4.8,5.5,7.4,2.2,1,0.6,1.6,16.6,,125,110
13,T.J. Warren,30,11,0,125,7.1,16.2,0.439,0.8,5.1,0.154,6.3,11.1,0.571,1.2,1.6,0.75,2,6.7,8.7,3.6,1.6,0.4,1.6,4.3,16.2,,102,110
14,Luka Garza,25,25,0,122,14.6,30.4,0.48,3.6,13,0.281,10.9,17.4,0.628,7.3,10.1,0.72,7.7,4.9,12.6,1.6,1.6,0.4,2.4,9.7,40.1,,117,111
15,Josh Minott,21,32,0,91,9.2,19.6,0.472,2.2,5.4,0.4,7.1,14.1,0.5,6.5,7.6,0.857,2.2,7.1,9.2,4.3,2.7,2.7,1.1,5.4,27.2,,127,105
16,Wendell Moore Jr.,22,25,0,75,5.9,11.9,0.5,0,4,0,5.9,7.9,0.75,0,0,,0,7.9,7.9,4,3.3,0.7,2.6,3.3,11.9,,92,106
17,Leonard Miller,20,17,0,52,12.4,19,0.65,1.9,4.8,0.4,10.5,14.3,0.733,1,1.9,0.5,4.8,14.3,19,7.6,1.9,1,1,4.8,27.6,,148,104
18,Daishen Nix,21,15,0,50,8.9,23.7,0.375,5.9,16.8,0.353,3,6.9,0.429,3,5.9,0.5,1,2,3,5.9,4.9,0,4.9,2,26.7,,95,106
19,Justin Jackson,28,2,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,,119
