,,,Totals,,Position Estimate,,,,,+/- Per 100 Poss.,,Turnovers,,Fouls Committed,,Fouls Drawn,,Misc.,,
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Anthony Edwards,22,79,2770,3%,73%,24%,,,7.4,2.8,112,91,61,15,240,1,1024,69,56
2,Rudy Gobert,31,76,2593,,,,,100%,8.4,5.2,32,30,120,38,166,14,265,42,55
3,Mike Conley,36,76,2193,100%,,,,,5.4,-2.6,81,13,57,2,37,27,1049,9,15
4,Jaden McDaniels,23,72,2105,,7%,84%,9%,,3.9,-5.6,38,28,109,3,40,13,244,14,28
5,Karl-Anthony Towns,28,62,2026,,,1%,94%,5%,6.4,-0.2,72,36,105,52,138,10,434,39,67
6,Naz Reid,24,81,1964,,,,47%,53%,5.9,-1.2,32,52,104,12,74,3,260,16,64
7,Nickeil Alexander-Walker,25,82,1921,43%,48%,9%,,,8.7,4.3,51,16,80,4,24,29,496,4,29
8,Kyle Anderson,30,79,1782,,,55%,42%,4%,5.6,-1.7,57,20,57,6,65,7,781,11,20
9,Jordan McLaughlin,27,56,626,66%,34%,,,,12.6,7.2,13,4,16,2,4,11,267,0,5
10,Shake Milton,27,38,491,23%,71%,6%,,,-3.1,-11,19,5,27,2,20,3,116,5,14
11,Troy Brown Jr.,24,37,410,,36%,55%,8%,1%,0.5,-6.7,12,2,17,2,5,2,84,0,2
12,Monte Morris,28,27,408,69%,30%,1%,,,10.6,4.5,4,1,7,0,6,4,152,2,3
13,T.J. Warren,30,11,125,,3%,28%,69%,,19.4,13.3,1,0,6,1,2,0,22,0,1
14,Luka Garza,25,25,122,,,,8%,92%,0.9,-5.8,3,3,13,0,12,5,10,3,5
15,Josh Minott,21,32,91,,9%,33%,45%,14%,8.9,2.4,0,1,6,0,7,0,17,3,3
16,Wendell Moore Jr.,22,25,75,13%,49%,33%,5%,,-1.6,-8.3,1,2,2,0,0,0,14,0,0
17,Leonard Miller,20,17,52,,,,52%,48%,6.1,-0.4,0,1,2,0,1,0,19,0,1
18,Daishen Nix,21,15,50,64%,21%,15%,,,27.3,21.1,2,3,1,0,1,0,15,0,3
19,Justin Jackson,28,2,1,,,,100%,,,,0,0,0,0,0,0,0,0,0
