Rk,Player,Pos,Age,Team,G,MP,,,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,,FG Add,TS Add
1,Precious Achiuwa,C-PF,24,TOT,74,1624,,,106,103,73,97,79,94,98,52,,-16.7,-36.2
2,Precious Achiuwa,C,24,TOR,25,437,,,97,97,76,91,73,88,101,70,,-16.8,-25.6
3,Precious Achiuwa,PF,24,NYK,49,1187,,,111,106,71,100,82,97,96,42,,0.2,-10.6
4,Bam Adebayo,C,26,MIA,71,2416,,,110,97,98,97,96,99,156,10,,-36.7,-10.2
5,Ochai Agbaji,SG,23,TOT,78,1641,,,87,96,80,88,84,86,53,123,,-55.3,-75.9
6,Ochai Agbaji,SG,23,UTA,51,1003,,,90,101,91,95,96,92,33,144,,-13.2,-25
7,Ochai Agbaji,SG,23,TOR,27,638,,,82,91,59,79,78,78,80,95,,-42.1,-50.8
8,Santi Aldama,PF,23,MEM,61,1618,,,92,98,95,97,79,93,63,136,,-20.9,-49.3
9,Nickeil Alexander-Walker,SG,25,MIN,82,1921,,,92,95,107,103,102,100,49,158,,14.9,-2.2
10,Grayson Allen,SG,28,PHO,75,2513,,,105,104,126,119,112,117,88,165,,139.5,147.9
11,Jarrett Allen,C,25,CLE,77,2442,,,134,117,,116,95,114,157,2,,142.8,160.7
12,Timmy Allen,SF,24,MEM,5,125,,,55,69,,48,64,47,36,77,,-13.1,-14.7
13,Jose Alvarado,PG,25,NOP,56,1028,,,87,85,103,96,86,93,62,152,,-15.1,-29.7
14,Kyle Anderson,PF,30,MIN,79,1782,,,97,90,63,86,90,88,130,28,,-64.3,-66.2
15,Giannis Antetokounmpo,PF,29,MIL,73,2567,,,129,118,75,114,84,112,234,23,,211.6,234.9
16,Thanasis Antetokounmpo,PF,31,MIL,34,155,,,112,101,,98,,89,27,8,,-0.8,-3.8
17,Cole Anthony,PG,23,ORL,81,1817,,,92,90,92,91,105,94,117,91,,-77,-59.3
18,OG Anunoby,SF,26,TOT,50,1702,,,103,106,104,106,96,103,63,117,,35.3,18.3
19,OG Anunoby,SF,26,TOR,27,900,,,103,111,102,107,91,103,59,129,,24.1,12.2
20,OG Anunoby,SF,26,NYK,23,802,,,103,101,108,104,101,102,69,103,,11.2,6.1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
21,Ryan Arcidiacono,PG,29,NYK,20,45,,,,,,,,,,253,,-6.6,-7
22,Deni Avdija,SF,23,WAS,75,2257,,,107,103,102,103,94,103,139,74,,22.3,31.2
23,Deandre Ayton,C,25,POR,55,1784,,,120,106,27,104,105,101,43,3,,36.3,10.9
24,Udoka Azubuike,C,24,PHO,16,113,,,147,128,,127,29,105,231,,,6.9,1.7
25,Ibou Badji,C,21,POR,22,226,,,134,117,,116,64,107,223,,,4,2.4
26,Marvin Bagley III,C,24,TOT,50,1053,,,123,110,107,109,97,108,126,14,,41,45.4
27,Marvin Bagley III,C,24,DET,26,478,,,125,111,46,109,105,110,138,8,,17.2,23.9
28,Marvin Bagley III,C,24,WAS,24,575,,,123,108,129,110,90,107,117,19,,23.9,21.5
29,Amari Bailey,PG,19,CHO,10,65,,,70,80,34,65,109,73,119,84,,-9.2,-8.4
30,Patrick Baldwin Jr.,SF,21,WAS,38,493,,,80,89,87,88,87,87,74,158,,-20.4,-26.1
31,LaMelo Ball,PG,22,CHO,22,711,,,91,92,97,94,110,97,101,118,,-26.4,-17.8
32,Mo Bamba,C,25,PHI,57,740,,,103,99,107,101,87,99,103,82,,2.6,-2.2
33,Paolo Banchero,PF,21,ORL,80,2799,,,96,90,93,91,92,94,163,63,,-139,-113.4
34,Desmond Bane,SG,25,MEM,42,1443,,,98,98,104,101,111,101,85,117,,8.8,14.7
35,Dalano Banton,PG,24,TOT,54,1047,,,85,87,81,85,100,87,98,101,,-83.5,-84.2
36,Dalano Banton,PG,24,BOS,24,171,,,79,89,34,72,102,81,161,79,,-15.7,-13.4
37,Dalano Banton,PG,24,POR,30,876,,,86,87,85,86,99,88,91,103,,-67.8,-70.9
38,Dominick Barlow,PF,20,SAS,33,420,,,104,93,91,93,88,94,152,20,,-8.5,-8.5
39,Harrison Barnes,PF,31,SAC,82,2381,,,100,105,106,105,102,105,110,133,,42.9,50.9
40,Scottie Barnes,SG,22,TOR,60,2094,,,100,98,93,97,100,98,109,80,,-34.7,-29.8
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
41,RJ Barrett,SG,23,TOT,58,1838,,,104,101,98,100,91,100,135,72,,0.1,0.7
42,RJ Barrett,SG,23,NYK,26,766,,,89,86,90,87,106,92,131,85,,-53.1,-39.4
43,RJ Barrett,SG,23,TOR,32,1072,,,117,111,107,110,80,106,139,62,,53.2,40.1
44,Charles Bassey,C,23,SAS,19,205,,,153,136,,133,106,127,61,6,,14.3,13.5
45,Emoni Bates,SF,20,CLE,15,133,,,65,57,83,75,32,70,33,171,,-13.6,-17.9
46,Keita Bates-Diop,PF-SF,28,TOT,53,665,,,91,96,83,91,97,92,104,105,,-16.4,-17
47,Keita Bates-Diop,SF,28,PHO,39,597,,,90,94,85,90,92,90,98,108,,-16,-18.4
48,Keita Bates-Diop,SF,28,BRK,14,68,,,105,117,55,97,128,106,153,79,,-0.5,1.4
49,Nicolas Batum,PF,35,TOT,60,1529,,,96,111,108,109,91,104,34,183,,25.2,12.3
50,Nicolas Batum,PF,35,LAC,3,54,,,79,183,78,91,,86,,222,,-0.7,-1.3
51,Nicolas Batum,PF,35,PHI,57,1475,,,96,110,109,110,91,105,35,182,,25.9,13.6
52,Darius Bazley,C-PF,23,TOT,9,152,,,126,133,68,116,106,117,164,68,,5.2,7.1
53,Darius Bazley,PF,23,PHI,3,10,,,,,,,,,,,,-1.1,-1.2
54,Darius Bazley,PF,23,UTA,6,142,,,131,140,68,120,106,121,169,70,,6.3,8.2
55,Bradley Beal,SG,30,PHO,53,1767,,,108,101,118,106,104,105,75,81,,51.6,43
56,Malik Beasley,SG,27,MIL,79,2337,,,93,98,113,109,91,104,20,190,,74.8,33.6
57,MarJon Beauchamp,SF,23,MIL,48,608,,,103,103,109,106,87,102,69,114,,10.6,4.2
58,Jules Bernard,SG,24,WAS,19,149,,,96,94,104,99,71,94,58,115,,-1,-4.8
59,Dāvis Bertāns,PF,31,TOT,43,674,,,83,86,104,102,116,101,58,216,,4.2,1.7
60,Dāvis Bertāns,PF,31,OKC,15,91,,,81,,114,106,119,116,236,234,,1.6,6.2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
61,Dāvis Bertāns,PF,31,CHO,28,583,,,83,92,103,101,113,98,35,214,,2.6,-4.5
