G,Date,Start (ET),Team ,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,"Sun, Apr 21, 2024",1:00p,Boston Celtics,Box Score,,Miami Heat,W,,114,94,1,0,W 1,
2,"Wed, Apr 24, 2024",7:00p,Boston Celtics,Box Score,,Miami Heat,L,,101,111,1,1,L 1,
3,"Sat, Apr 27, 2024",6:00p,Boston Celtics,Box Score,@,Miami Heat,W,,104,84,2,1,W 1,
4,"Mon, Apr 29, 2024",7:30p,Boston Celtics,Box Score,@,Miami Heat,W,,102,88,3,1,W 2,
5,"Wed, May 1, 2024",7:30p,Boston Celtics,Box Score,,Miami Heat,W,,118,84,4,1,W 3,
6,"Tue, May 7, 2024",7:00p,Boston Celtics,Box Score,,Cleveland Cavaliers,W,,120,95,5,1,W 4,
7,"Thu, May 9, 2024",7:00p,Boston Celtics,Box Score,,Cleveland Cavaliers,L,,94,118,5,2,L 1,
8,"Sat, May 11, 2024",8:30p,Boston Celtics,Box Score,@,Cleveland Cavaliers,W,,106,93,6,2,W 1,
9,"Mon, May 13, 2024",7:00p,Boston Celtics,Box Score,@,Cleveland Cavaliers,W,,109,102,7,2,W 2,
10,"Wed, May 15, 2024",7:00p,Boston Celtics,Box Score,,Cleveland Cavaliers,W,,113,98,8,2,W 3,
11,"Tue, May 21, 2024",8:00p,Boston Celtics,Box Score,,Indiana Pacers,W,OT,133,128,9,2,W 4,
12,"Thu, May 23, 2024",8:00p,Boston Celtics,Box Score,,Indiana Pacers,W,,126,110,10,2,W 5,
13,"Sat, May 25, 2024",8:30p,Boston Celtics,,@,Indiana Pacers,,,,,,,,
14,"Mon, May 27, 2024",8:00p,Boston Celtics,,@,Indiana Pacers,,,,,,,,
15,"Wed, May 29, 2024",,Boston Celtics,,,Indiana Pacers,,,,,,,,
16,"Fri, May 31, 2024",,Boston Celtics,,@,Indiana Pacers,,,,,,,,
17,"Sun, Jun 2, 2024",,Boston Celtics,,,Indiana Pacers,,,,,,,,
,,,Boston Celtics,,,Dallas Mavericks,,,,,,,,
,,,Boston Celtics,,,Dallas Mavericks,,,,,,,,
,,,Boston Celtics,,,Dallas Mavericks,,,,,,,,
,,,Boston Celtics,,,Dallas Mavericks,,,,,,,,
,,,Boston Celtics,,,Dallas Mavericks,,,,,,,,
,,,Boston Celtics,,,Dallas Mavericks,,,,,,,,
,,,Boston Celtics,,,Dallas Mavericks,,,,,,,,
