,,,,,,,% of FGA by Distance,,,,,,,FG% by Distance,,,,,,,% of FG Ast'd,,,Dunks,,,Layups,,,Corner,,,Heaves,
Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-Oct,Oct-16,16-3P,3P,,2P,0-3,3-Oct,Oct-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
1,Atlanta Hawks,82,19855,0.465,14.1,,0.592,0.247,0.194,0.104,0.047,0.408,,0.535,0.649,0.437,0.477,0.471,0.364,,0.537,0.791,,0.065,445,,0.259,1006,,0.26,0.38,,15,0
2,Boston Celtics*,82,19830,0.487,15.6,,0.529,0.212,0.181,0.083,0.053,0.471,,0.575,0.745,0.478,0.454,0.418,0.388,,0.503,0.796,,0.066,439,,0.249,1086,,0.204,0.441,,11,1
3,Brooklyn Nets,82,19805,0.456,14.2,,0.588,0.242,0.199,0.094,0.053,0.412,,0.522,0.692,0.406,0.433,0.346,0.362,,0.527,0.844,,0.054,353,,0.266,1081,,0.261,0.414,,23,1
4,Chicago Bulls,82,19980,0.47,13.6,,0.642,0.266,0.181,0.106,0.089,0.358,,0.532,0.642,0.465,0.481,0.404,0.358,,0.488,0.876,,0.039,236,,0.274,1156,,0.275,0.385,,11,0
5,Charlotte Hornets,82,19730,0.46,14.1,,0.609,0.251,0.198,0.094,0.065,0.391,,0.528,0.692,0.438,0.404,0.344,0.355,,0.525,0.839,,0.059,381,,0.259,1036,,0.219,0.367,,21,0
6,Cleveland Cavaliers*,82,19805,0.479,14,,0.578,0.276,0.19,0.073,0.039,0.422,,0.561,0.686,0.448,0.457,0.416,0.367,,0.589,0.844,,0.07,444,,0.26,1056,,0.239,0.376,,10,1
7,Dallas Mavericks*,82,19705,0.481,15.1,,0.559,0.222,0.175,0.098,0.064,0.441,,0.569,0.747,0.47,0.451,0.404,0.369,,0.524,0.735,,0.069,447,,0.225,998,,0.274,0.362,,16,0
8,Denver Nuggets*,82,19705,0.496,13.3,,0.648,0.265,0.209,0.09,0.083,0.352,,0.562,0.688,0.487,0.457,0.464,0.374,,0.598,0.864,,0.066,438,,0.282,1152,,0.238,0.384,,24,0
9,Detroit Pistons,82,19755,0.463,13.5,,0.64,0.224,0.242,0.112,0.063,0.36,,0.528,0.679,0.461,0.455,0.377,0.348,,0.541,0.844,,0.072,470,,0.27,1058,,0.273,0.359,,21,0
