,,,Totals,,Position Estimate,,,,,+/- Per 100 Poss.,,Turnovers,,Fouls Committed,,Fouls Drawn,,Misc.,,
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Luka DonÄiÄ‡,24,70,2624,74%,26%,,,,5.3,9.4,200,61,77,7,283,12,1636,78,50
2,Tim Hardaway Jr.,31,79,2120,,13%,69%,18%,,-0.3,-5.4,33,24,46,6,69,35,336,21,33
3,Kyrie Irving,31,58,2030,23%,68%,10%,,,6,7.9,52,38,57,6,85,12,719,26,39
4,Derrick Jones Jr.,26,76,1783,,,50%,49%,1%,1.8,-0.6,22,26,68,7,73,21,190,19,24
5,Josh Green,23,57,1505,1%,37%,60%,2%,,-2.1,-6.9,32,15,45,12,22,29,320,6,30
6,Dereck Lively II,19,55,1294,,,,,100%,5.8,5.5,16,11,92,15,40,2,150,11,20
7,Grant Williams,25,47,1242,,,1%,84%,15%,-3.7,-8.4,16,17,70,12,23,9,206,6,16
8,Dante Exum,28,55,1088,100%,,,,,10.8,12,22,20,37,3,31,20,380,5,18
9,Jaden Hardy,21,73,989,13%,69%,18%,,,-6.7,-11.8,32,19,44,8,35,12,261,7,28
10,P.J. Washington,25,29,935,,,2%,97%,2%,8.2,8,13,8,37,5,26,2,104,5,15
11,Maxi Kleber,32,43,871,,,,27%,73%,6.8,5.9,13,7,46,7,16,13,171,3,4
12,Dwight Powell,32,63,836,,,,,100%,0.2,-2.5,10,10,73,9,37,5,206,8,12
13,Daniel Gafford,25,29,623,,,,11%,89%,6.5,5.2,9,8,50,9,29,2,104,10,10
14,Seth Curry,33,36,457,40%,52%,9%,,,7.3,5.8,8,2,13,2,8,4,72,5,5
15,Olivier-Maxence Prosper,21,40,336,,,10%,78%,12%,-12.2,-15.7,3,3,12,1,19,3,56,3,6
16,A.J. Lawson,23,42,311,6%,41%,51%,3%,,2.7,0.6,7,2,16,1,12,0,51,2,8
17,Richaun Holmes,30,23,237,,,,5%,95%,-8.1,-10.9,4,1,15,5,7,1,36,3,4
18,Markieff Morris,34,26,216,,,,43%,57%,-14.4,-17.5,6,4,6,1,3,0,39,0,2
19,Brandon Williams,24,17,113,100%,,,,,-22.6,-25.5,5,1,4,0,10,3,38,3,5
20,Greg Brown III,22,6,40,,,59%,35%,7%,-7.5,-9.7,2,1,3,1,4,0,8,1,1
21,Dexter Dennis,24,4,30,,48%,52%,,,-11.2,-13.5,3,0,1,0,3,0,9,3,0
22,Alex Fudge,20,2,26,,,58%,42%,,-26.9,-29.2,0,0,1,0,0,0,0,0,1
