Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Luka Dončić,24,70,70,2624,14.7,30.2,0.487,5.2,13.6,0.382,9.5,16.6,0.573,8.7,11.1,0.786,1.1,10.8,11.8,12.5,1.8,0.7,5.2,2.7,43.3,,122,113
2,Tim Hardaway Jr.,31,79,12,2120,8.9,22.1,0.402,4.8,13.5,0.353,4.1,8.6,0.478,3.3,3.8,0.852,0.5,5.3,5.7,3.1,1,0.1,1.6,2.4,25.8,,109,119
3,Kyrie Irving,31,58,58,2030,13.3,26.7,0.497,4.1,9.9,0.411,9.2,16.8,0.548,4.5,5,0.905,1,5.8,6.9,7.1,1.7,0.7,2.5,2.6,35.1,,122,116
4,Derrick Jones Jr.,26,76,66,1783,6.4,13.3,0.483,2.2,6.4,0.343,4.2,6.9,0.613,2.6,3.7,0.713,2.2,4.5,6.7,2,1.4,1.4,1.7,3.3,17.7,,116,116
5,Josh Green,23,57,33,1505,5.7,11.9,0.479,2.3,6,0.385,3.4,6,0.572,1.2,1.8,0.684,1.3,4.6,5.9,4.1,1.5,0.3,1.9,3.4,15,,115,117
6,Dereck Lively II,19,55,42,1294,8.2,11,0.747,0,0.1,0,8.2,10.9,0.752,1.5,3,0.506,5,9,14,2.2,1.3,2.9,1.9,5.3,17.9,,139,112
7,Grant Williams,25,47,33,1242,5.1,12.2,0.413,3.1,8.1,0.376,2,4.1,0.486,1.6,2.1,0.745,1.8,4.8,6.5,3.1,0.9,1,2,5.3,14.8,,110,118
8,Dante Exum,28,55,17,1088,7.1,13.3,0.533,2.3,4.8,0.491,4.8,8.6,0.557,2.3,3,0.779,1.1,5.5,6.6,6.9,1,0.2,2.2,3.7,18.9,,128,118
9,Jaden Hardy,21,73,7,989,9.5,23.2,0.407,3.9,10.9,0.362,5.5,12.4,0.447,2.9,3.7,0.776,1,5.4,6.4,5.3,1.1,0.2,3,3.9,25.7,,103,118
10,P.J. Washington,25,29,28,935,6.5,15.5,0.421,2.7,8.7,0.314,3.8,6.8,0.556,1.6,2.6,0.627,1.6,7.5,9.2,2.3,1.7,1.4,1.5,2.9,17.4,,106,114
11,Maxi Kleber,32,43,7,871,3.5,8,0.432,1.8,5.1,0.348,1.7,3,0.574,1.8,2.6,0.702,1.7,6.2,7.9,3.7,0.9,1.7,1.5,4.4,10.5,,118,116
12,Dwight Powell,32,63,9,836,4.1,6.1,0.679,0.1,0.2,0.333,4.1,5.9,0.689,3.6,5.1,0.708,5.6,6.7,12.3,4.8,1.5,1.1,1.8,6.5,11.9,,147,115
13,Daniel Gafford,25,29,21,623,11.2,14.3,0.78,0,0,,11.2,14.3,0.78,2.6,4.3,0.607,4.9,10.6,15.5,3.5,1.6,4.3,2.2,6.2,25,,145,109
14,Seth Curry,33,36,3,457,5.7,15.2,0.372,3,8.4,0.363,2.6,6.8,0.385,1.8,2,0.895,1.6,3.9,5.5,3.1,1.8,0.3,1.7,3.4,16.2,,105,117
15,Olivier-Maxence Prosper,21,40,1,336,5.7,14.8,0.385,1.9,6.4,0.289,3.9,8.4,0.458,4,5.9,0.683,3.6,7.7,11.3,3.1,1,0.6,1.1,2.9,17.3,,113,116
16,A.J. Lawson,23,42,0,311,8.3,18.7,0.446,2,7.7,0.26,6.3,11,0.577,2.3,3.5,0.652,2.2,5.6,7.7,3.1,1.5,0.5,2.2,3.4,21,,105,117
17,Richaun Holmes,30,23,2,237,6.7,11.9,0.559,0,0,,6.7,11.9,0.559,2.4,4.3,0.571,6.7,9.1,15.8,3,0.6,1.8,2.4,6.7,15.8,,121,115
18,Markieff Morris,34,26,1,216,5.1,15.1,0.338,3.3,9.3,0.357,1.8,5.8,0.308,1.1,1.3,0.833,0.9,7.8,8.7,3.6,1.1,0.7,2.7,2.7,14.7,,92,116
19,Brandon Williams,24,17,0,113,8.5,22.9,0.37,1.3,6.4,0.2,7.2,16.6,0.436,4.7,7.2,0.647,1.7,3.8,5.5,7.2,0.4,0.4,3,1.7,22.9,,97,120
20,Greg Brown III,22,6,0,40,6,13.2,0.455,1.2,3.6,0.333,4.8,9.6,0.5,4.8,10.8,0.444,3.6,7.2,10.8,4.8,0,4.8,4.8,6,18,,96,114
21,Dexter Dennis,24,4,0,30,16,30.4,0.526,1.6,12.8,0.125,14.4,17.6,0.818,1.6,4.8,0.333,1.6,12.8,14.4,6.4,0,1.6,4.8,1.6,35.2,,100,114
22,Alex Fudge,20,2,0,26,9.2,16.6,0.556,1.8,5.5,0.333,7.4,11.1,0.667,0,0,,3.7,1.8,5.5,0,5.5,0,1.8,1.8,20.3,,114,110
